ЦУР,1.5.1 Погибшие,1.а.2 Здравоохранение,Т.1.4.3,11.5.1 погибшие,13.1.1 погибшие,2.a.1,2.b.1,Т2.2.3,3.2.1,3.4.2,Т3.2.5,Т3.8.3,Т3.9.1,Т3.10.3,Т3.10.4,4.4.1.b,Т4.7.3,Т4.9.2
1.5.1 Погибшие,1.0,0.7307806403292464,0.8970855137661325,1.0,1.0,0.9663374879648546,0.863408598024485,0.9663374879648546,0.6414398808937029,0.9759001102286358,0.4323939992743446,0.9738128917616745,0.6433768599625002,0.6433768599625002,0.6521683018601212,0.8317754055465355,0.8910182109849613,0.8317754055465355
1.а.2 Здравоохранение,0.7307806403292464,1.0,0.6830502965995413,0.7307806403292464,0.7307806403292464,0.6140536868163363,0.44749401535642674,0.6140536868163363,0.46359465549128714,0.6706376282678983,0.4913601111865964,0.6195831562952742,0.2731457853572871,0.2731457853572871,0.2594392781362647,0.7864352184224249,0.6956511026135532,0.7864352184224249
Т.1.4.3,0.8970855137661325,0.6830502965995413,1.0,0.8970855137661324,0.8970855137661324,0.8821830713319894,0.7934541322244596,0.8821830713319894,0.6823339069595428,0.8867146702802131,0.4266028893372845,0.8682489709954705,0.6274749073097002,0.6274749073097002,0.6474619994224491,0.7272928832455856,0.9951776228272148,0.7272928832455856
11.5.1 погибшие,1.0,0.7307806403292464,0.8970855137661324,1.0,1.0,0.9663374879648546,0.863408598024485,0.9663374879648546,0.6414398808937029,0.9759001102286358,0.4323939992743446,0.9738128917616745,0.6433768599625002,0.6433768599625002,0.6521683018601212,0.8317754055465355,0.8910182109849613,0.8317754055465355
13.1.1 погибшие,1.0,0.7307806403292464,0.8970855137661324,1.0,1.0,0.9663374879648546,0.863408598024485,0.9663374879648546,0.6414398808937029,0.9759001102286358,0.4323939992743446,0.9738128917616745,0.6433768599625002,0.6433768599625002,0.6521683018601212,0.8317754055465355,0.8910182109849613,0.8317754055465355
2.a.1,0.9663374879648546,0.6140536868163363,0.8821830713319894,0.9663374879648546,0.9663374879648546,1.0,0.95577566642703,1.0,0.7141011501503058,0.9591249203997774,0.37849124014850377,0.9738208758460495,0.7779856378404869,0.7779856378404869,0.7916298913918035,0.7640700089286002,0.8801672857407685,0.7640700089286002
2.b.1,0.863408598024485,0.44749401535642674,0.7934541322244596,0.863408598024485,0.863408598024485,0.95577566642703,1.0,0.95577566642703,0.7611947640076683,0.8898695936730895,0.40779270568133047,0.9294366063410711,0.9125105426897142,0.9125105426897142,0.9123513452854878,0.6286370146568689,0.8010983467809139,0.6286370146568689
Т2.2.3,0.9663374879648546,0.6140536868163363,0.8821830713319894,0.9663374879648546,0.9663374879648546,1.0,0.95577566642703,1.0,0.7141011501503058,0.9591249203997774,0.37849124014850377,0.9738208758460495,0.7779856378404869,0.7779856378404869,0.7916298913918035,0.7640700089286002,0.8801672857407685,0.7640700089286002
3.2.1,0.6414398808937029,0.46359465549128714,0.6823339069595428,0.6414398808937029,0.6414398808937029,0.7141011501503058,0.7611947640076683,0.7141011501503058,1.0,0.7682136913336782,0.6958221040144922,0.7325893251916336,0.8619790239700048,0.8619790239700048,0.8606086218041494,0.34415980508060956,0.7218270986499983,0.34415980508060956
3.4.2,0.9759001102286358,0.6706376282678983,0.8867146702802131,0.9759001102286358,0.9759001102286358,0.9591249203997774,0.8898695936730895,0.9591249203997774,0.7682136913336782,1.0,0.5367068226758686,0.9898434664710891,0.7375631477464434,0.7375631477464434,0.7379952142838733,0.7230517958324127,0.8935598878194927,0.7230517958324127
Т3.2.5,0.4323939992743446,0.4913601111865964,0.4266028893372845,0.4323939992743446,0.4323939992743446,0.37849124014850377,0.40779270568133047,0.37849124014850377,0.6958221040144922,0.5367068226758686,1.0,0.5118030814058102,0.579653268754542,0.579653268754542,0.5553233179088733,0.3892520684539738,0.44741369333948877,0.3892520684539738
Т3.8.3,0.9738128917616745,0.6195831562952742,0.8682489709954705,0.9738128917616745,0.9738128917616745,0.9738208758460495,0.9294366063410711,0.9738208758460495,0.7325893251916336,0.9898434664710891,0.5118030814058102,1.0,0.7766107258764761,0.7766107258764761,0.7742780961850065,0.7372357672318857,0.8709953173482047,0.7372357672318857
Т3.9.1,0.6433768599625002,0.2731457853572871,0.6274749073097002,0.6433768599625002,0.6433768599625002,0.7779856378404869,0.9125105426897142,0.7779856378404869,0.8619790239700048,0.7375631477464434,0.579653268754542,0.7766107258764761,1.0,1.0,0.9893477956939297,0.3973287808643084,0.6511440215263656,0.3973287808643084
Т3.10.3,0.6433768599625002,0.2731457853572871,0.6274749073097002,0.6433768599625002,0.6433768599625002,0.7779856378404869,0.9125105426897142,0.7779856378404869,0.8619790239700048,0.7375631477464434,0.579653268754542,0.7766107258764761,1.0,1.0,0.9893477956939297,0.3973287808643084,0.6511440215263656,0.3973287808643084
Т3.10.4,0.6521683018601212,0.2594392781362647,0.6474619994224491,0.6521683018601212,0.6521683018601212,0.7916298913918035,0.9123513452854878,0.7916298913918035,0.8606086218041494,0.7379952142838733,0.5553233179088733,0.7742780961850065,0.9893477956939297,0.9893477956939297,1.0,0.4362373477544107,0.6603390544032484,0.4362373477544107
4.4.1.b,0.8317754055465355,0.7864352184224249,0.7272928832455856,0.8317754055465355,0.8317754055465355,0.7640700089286002,0.6286370146568689,0.7640700089286002,0.34415980508060956,0.7230517958324127,0.3892520684539738,0.7372357672318857,0.3973287808643084,0.3973287808643084,0.4362373477544107,1.0,0.6878803040532199,1.0
Т4.7.3,0.8910182109849613,0.6956511026135532,0.9951776228272148,0.8910182109849613,0.8910182109849613,0.8801672857407685,0.8010983467809139,0.8801672857407685,0.7218270986499983,0.8935598878194927,0.44741369333948877,0.8709953173482047,0.6511440215263656,0.6511440215263656,0.6603390544032484,0.6878803040532199,1.0,0.6878803040532199
Т4.9.2,0.8317754055465355,0.7864352184224249,0.7272928832455856,0.8317754055465355,0.8317754055465355,0.7640700089286002,0.6286370146568689,0.7640700089286002,0.34415980508060956,0.7230517958324127,0.3892520684539738,0.7372357672318857,0.3973287808643084,0.3973287808643084,0.4362373477544107,1.0,0.6878803040532199,1.0
